pid,uid,name,type,breed,colors,gender,weight,age,vaccinestatus,character1,character2,character3,like1,like2,dislike1,dislike2,dateCreated,lastmodified
pid28,uid14,Leo,cat,Maine Coon,black,male,1,6,vaccinated,reflects affection,ruthlessness,gentleness,playing with toys,chasing laser pointers,being in unfamiliar environments,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid29,uid15,Luna,cat,British Shorthair,black,female,6,7,not vaccinated,curious,bullying,gentleness,playing with toys,playing with toys,being in unfamiliar environments,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid30,uid15,Tiger,cat,Birman,brown,male,8,5,vaccinated,suspicious,insecure,tyranny,watching birds,chasing laser pointers,being around dogs,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid31,uid16,Oscar,cat,Ragdoll,white,female,7,3,not vaccinated,inquisitive,smart,shy,cuddling,cuddling,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid32,uid16,Max,cat,Siamese,white,male,5,2,vaccinated,inquisitive,inventive,smart,sleeping in sunbeams,sleeping in sunbeams,being in unfamiliar environments,being in unfamiliar environments,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid33,uid17,Oscar,cat,Ragdoll,gray,female,9,8,not vaccinated,active,smart,inquisitive,playing with toys,watching birds,being handled roughly,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid34,uid17,Whiskers,cat,Birman,brown,male,2,9,vaccinated,tyranny,inquisitive,unpredictability,sleeping in sunbeams,cuddling,being in unfamiliar environments,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid35,uid18,Max,cat,Ragdoll,brown,female,10,3,not vaccinated,reflects affection,suspicious,insecure,sleeping in sunbeams,cuddling,loud noises,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid36,uid18,Luna,cat,Birman,black,male,1,4,vaccinated,insecure,suspicious,fearful,playing with toys,cuddling,being handled roughly,getting wet,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid37,uid19,Tiger,cat,British Shorthair,gray,female,10,8,not vaccinated,fearful,gentleness,insecure,watching birds,chasing laser pointers,being handled roughly,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid38,uid19,Luna,cat,Abyssinian,gray,male,7,8,vaccinated,inventive,smart,suspicious,playing with toys,cuddling,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid39,uid20,Luna,cat,Abyssinian,black,female,1,8,not vaccinated,active,insecure,inventive,sleeping in sunbeams,sleeping in sunbeams,being handled roughly,getting wet,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid40,uid20,Whiskers,cat,Bengal,brown,male,5,6,vaccinated,suspicious,scared of people,active,playing with toys,chasing laser pointers,getting wet,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid41,uid21,Whiskers,cat,British Shorthair,black,female,8,3,not vaccinated,inventive,curious,ruthlessness,chasing laser pointers,cuddling,loud noises,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid42,uid21,Whiskers,cat,British Shorthair,black,male,3,8,vaccinated,insecure,insecure,bullying,playing with toys,chasing laser pointers,being handled roughly,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid43,uid22,Simba,cat,Bengal,orange,female,7,3,not vaccinated,inquisitive,curious,alert,playing with toys,playing with toys,getting wet,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid44,uid22,Tiger,cat,Abyssinian,orange,male,3,7,vaccinated,unpredictability,active,suspicious,sleeping in sunbeams,chasing laser pointers,being handled roughly,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid45,uid23,Simba,cat,Sphynx,black,female,4,10,not vaccinated,curious,insecure,shy,sleeping in sunbeams,sleeping in sunbeams,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid46,uid23,Leo,cat,Persian,white,male,8,2,vaccinated,ruthlessness,smart,suspicious,sleeping in sunbeams,chasing laser pointers,being around dogs,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid47,uid24,Leo,cat,Persian,orange,female,4,6,not vaccinated,unpredictability,unpredictability,active,sleeping in sunbeams,watching birds,loud noises,being handled roughly,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid48,uid24,Oscar,cat,Ragdoll,black,male,6,7,vaccinated,reflects affection,curious,volatility,sleeping in sunbeams,sleeping in sunbeams,getting wet,getting wet,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid49,uid25,Max,cat,Bengal,white,female,9,8,not vaccinated,curious,suspicious,inventive,playing with toys,sleeping in sunbeams,being around dogs,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid50,uid25,Whiskers,cat,Maine Coon,orange,male,8,6,vaccinated,gentleness,suspicious,inventive,playing with toys,cuddling,loud noises,being around dogs,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid51,uid26,Max,dog,Boxer,golden,female,3,1,not vaccinated,straightforward,trustworthy,curious,sniffing everything,learning new tricks,being scolded,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid52,uid26,Cooper,dog,Golden Retriever,white,male,6,5,vaccinated,trustworthy,curious,straightforward,going for walks,going for walks,being scolded,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid53,uid27,Daisy,dog,Boxer,brown,female,1,4,not vaccinated,shy,trustworthy,sociable,learning new tricks,playing fetch,being scolded,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid54,uid27,Rocky,dog,Dachshund,black,male,7,7,vaccinated,curious,irritable,outgoing,getting belly rubs,getting belly rubs,being in confined spaces,being scolded,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid55,uid28,Cooper,dog,Dachshund,black,female,5,5,not vaccinated,sociable,straightforward,irritable,going for walks,learning new tricks,being scolded,being scolded,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid56,uid28,Max,dog,German Shepherd,golden,male,1,7,vaccinated,trustworthy,anxious,outgoing,learning new tricks,playing fetch,being in confined spaces,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid57,uid29,Daisy,dog,Yorkshire Terrier,white,female,9,5,not vaccinated,trustworthy,sociable,efficient,playing fetch,sniffing everything,loud noises,being in confined spaces,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid58,uid29,Charlie,dog,Boxer,white,male,8,10,vaccinated,curious,sociable,curious,going for walks,getting belly rubs,loud noises,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid59,uid30,Max,dog,Labrador Retriever,brown,female,9,2,not vaccinated,straightforward,efficient,thorough,going for walks,going for walks,being scolded,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid60,uid30,Lola,dog,Poodle,brown,male,8,9,vaccinated,not lazy,shy,curious,going for walks,playing fetch,being left alone,being in confined spaces,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid61,uid31,Lola,dog,Poodle,golden,female,4,6,not vaccinated,thorough,thorough,thorough,going for walks,playing fetch,being around cats,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid62,uid31,Lola,dog,Beagle,brown,male,2,6,vaccinated,curious,outgoing,sociable,learning new tricks,playing fetch,loud noises,being in confined spaces,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid63,uid32,Milo,dog,Bulldog,brown,female,5,5,not vaccinated,imaginative,excitable,not lazy,getting belly rubs,playing fetch,being scolded,being scolded,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid64,uid32,Lola,dog,Bulldog,golden,male,7,9,vaccinated,irritable,straightforward,irritable,sniffing everything,playing fetch,being left alone,being in confined spaces,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid65,uid33,Daisy,dog,Beagle,gray,female,6,2,not vaccinated,straightforward,trustworthy,outgoing,playing fetch,learning new tricks,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid66,uid33,Lola,dog,Labrador Retriever,black,male,1,7,vaccinated,straightforward,efficient,curious,learning new tricks,learning new tricks,being left alone,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid67,uid34,Max,dog,Beagle,black,female,10,2,not vaccinated,irritable,sociable,efficient,sniffing everything,learning new tricks,being scolded,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid68,uid34,Daisy,dog,German Shepherd,golden,male,3,2,vaccinated,irritable,efficient,thorough,going for walks,getting belly rubs,being around cats,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid69,uid35,Milo,dog,Boxer,golden,female,8,8,not vaccinated,trustworthy,irritable,not lazy,going for walks,playing fetch,loud noises,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid70,uid35,Milo,dog,German Shepherd,white,male,4,8,vaccinated,straightforward,shy,straightforward,sniffing everything,learning new tricks,being around cats,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid71,uid36,Max,dog,Golden Retriever,white,female,7,8,not vaccinated,shy,thorough,excitable,going for walks,playing fetch,being left alone,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid72,uid36,Lucy,dog,Bulldog,golden,male,2,6,vaccinated,curious,anxious,thorough,going for walks,playing fetch,being scolded,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid73,uid37,Sadie,dog,Beagle,white,female,2,4,not vaccinated,sociable,sociable,outgoing,getting belly rubs,playing fetch,being in confined spaces,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid74,uid37,Rocky,dog,Golden Retriever,gray,male,3,8,vaccinated,outgoing,trustworthy,outgoing,going for walks,going for walks,being in confined spaces,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid75,uid38,Rocky,dog,Poodle,golden,female,5,4,not vaccinated,anxious,shy,efficient,getting belly rubs,going for walks,being scolded,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid76,uid38,Cooper,dog,Poodle,brown,male,5,6,vaccinated,shy,excitable,imaginative,sniffing everything,going for walks,being left alone,being scolded,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid77,uid39,Max,dog,Labrador Retriever,white,female,4,6,not vaccinated,efficient,outgoing,shy,playing fetch,going for walks,loud noises,being in confined spaces,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid78,uid39,Cooper,dog,Bulldog,brown,male,8,8,vaccinated,thorough,outgoing,efficient,going for walks,getting belly rubs,being in confined spaces,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid79,uid40,Sadie,dog,Labrador Retriever,black,female,6,8,not vaccinated,outgoing,straightforward,imaginative,getting belly rubs,going for walks,being in confined spaces,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid80,uid40,Bella,dog,Boxer,gray,male,6,2,vaccinated,straightforward,shy,thorough,learning new tricks,learning new tricks,being left alone,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid81,uid41,Charlie,dog,Boxer,brown,female,4,1,not vaccinated,imaginative,sociable,efficient,sniffing everything,playing fetch,being left alone,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid82,uid41,Cooper,dog,German Shepherd,black,male,5,2,vaccinated,trustworthy,straightforward,thorough,sniffing everything,playing fetch,loud noises,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid83,uid42,Cooper,dog,Rottweiler,white,female,6,7,not vaccinated,outgoing,outgoing,curious,going for walks,learning new tricks,being around cats,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid84,uid42,Bella,dog,Beagle,brown,male,1,5,vaccinated,sociable,outgoing,trustworthy,sniffing everything,playing fetch,being around cats,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid85,uid43,Bella,dog,Beagle,black,female,10,10,not vaccinated,shy,straightforward,efficient,sniffing everything,learning new tricks,being left alone,being in confined spaces,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid86,uid43,Daisy,dog,Beagle,black,male,10,5,vaccinated,thorough,excitable,sociable,going for walks,getting belly rubs,being left alone,being left alone,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid87,uid44,Milo,dog,Dachshund,black,female,9,2,not vaccinated,shy,straightforward,imaginative,sniffing everything,playing fetch,being around cats,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid88,uid44,Milo,dog,German Shepherd,golden,male,9,4,vaccinated,trustworthy,shy,imaginative,going for walks,learning new tricks,being around cats,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid89,uid45,Max,dog,Rottweiler,golden,female,3,9,not vaccinated,trustworthy,not lazy,irritable,going for walks,going for walks,being scolded,being scolded,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid90,uid45,Charlie,dog,Rottweiler,black,male,9,8,vaccinated,sociable,excitable,sociable,sniffing everything,going for walks,being scolded,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid91,uid46,Charlie,dog,Rottweiler,gray,female,4,4,not vaccinated,curious,straightforward,straightforward,getting belly rubs,learning new tricks,being in confined spaces,being around cats,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
pid92,uid46,Bella,dog,Labrador Retriever,gray,male,8,2,vaccinated,trustworthy,trustworthy,curious,going for walks,sniffing everything,being in confined spaces,loud noises,Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time),Mon Jun 26 2023 00:18:31 GMT+0700 (Western Indonesia Time)
