pid,uid,name,type,breed,colors,gender,weight,age,vaccinestatus,character1,character2,character3,like1,like2,dislike1,dislike2,dateCreated,lastmodified
pid12,uid6,Luna,cat,Sphynx,orange,male,3,2,vaccinated,fearful,curious,volatility,cuddling,watching birds,getting wet,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid13,uid7,Luna,cat,Ragdoll,orange,female,4,7,not vaccinated,insecure,inventive,smart,cuddling,cuddling,being in unfamiliar environments,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid14,uid7,Charlie,cat,Siamese,orange,male,5,5,vaccinated,active,alert,shy,cuddling,cuddling,being in unfamiliar environments,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid15,uid8,Luna,cat,Abyssinian,white,female,5,6,not vaccinated,ruthlessness,shy,insecure,playing with toys,playing with toys,being around dogs,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid16,uid8,Charlie,cat,British Shorthair,gray,male,7,4,vaccinated,inquisitive,aggressiveness,insecure,cuddling,chasing laser pointers,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid17,uid9,Tiger,cat,Scottish Fold,gray,female,2,1,not vaccinated,volatility,curious,active,cuddling,watching birds,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid18,uid9,Milo,cat,Persian,orange,male,3,1,vaccinated,alert,tyranny,shy,playing with toys,chasing laser pointers,being handled roughly,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid19,uid10,Oliver,cat,Scottish Fold,white,female,5,3,not vaccinated,insecure,scared of people,suspicious,cuddling,sleeping in sunbeams,loud noises,getting wet,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid20,uid10,Whiskers,cat,Maine Coon,brown,male,2,8,vaccinated,inventive,shy,inquisitive,cuddling,chasing laser pointers,being around dogs,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid21,uid11,Whiskers,cat,Abyssinian,brown,female,3,1,not vaccinated,scared of people,scared of people,friendliness towards people,sleeping in sunbeams,chasing laser pointers,loud noises,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid22,uid11,Charlie,cat,Scottish Fold,gray,male,5,2,vaccinated,alert,unpredictability,smart,chasing laser pointers,sleeping in sunbeams,getting wet,getting wet,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid23,uid12,Milo,cat,Maine Coon,black,female,7,4,not vaccinated,tyranny,suspicious,aggressiveness,cuddling,chasing laser pointers,loud noises,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid24,uid12,Milo,cat,Maine Coon,gray,male,6,5,vaccinated,fearful,aggressiveness,smart,chasing laser pointers,playing with toys,being in unfamiliar environments,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid25,uid13,Luna,cat,Abyssinian,black,female,8,3,not vaccinated,insecure,volatility,inventive,playing with toys,cuddling,loud noises,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid26,uid13,Leo,cat,Ragdoll,brown,male,4,1,vaccinated,friendliness towards people,unpredictability,active,playing with toys,watching birds,loud noises,getting wet,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid27,uid14,Luna,cat,Bengal,white,female,1,2,not vaccinated,curious,scared of people,friendliness towards people,playing with toys,playing with toys,being in unfamiliar environments,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid28,uid14,Luna,cat,Maine Coon,gray,male,10,6,vaccinated,inventive,reflects affection,unpredictability,sleeping in sunbeams,cuddling,being handled roughly,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid29,uid15,Milo,cat,Siamese,gray,female,2,5,not vaccinated,curious,shy,friendliness towards people,playing with toys,watching birds,being handled roughly,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid30,uid15,Whiskers,cat,Siamese,black,male,9,7,vaccinated,suspicious,volatility,suspicious,watching birds,cuddling,loud noises,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid31,uid16,Leo,cat,Siamese,black,female,6,7,not vaccinated,reflects affection,shy,active,playing with toys,chasing laser pointers,being handled roughly,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid32,uid16,Milo,cat,Maine Coon,orange,male,6,9,vaccinated,unpredictability,fearful,suspicious,watching birds,sleeping in sunbeams,being handled roughly,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid33,uid17,Max,cat,Scottish Fold,white,female,8,5,not vaccinated,shy,inventive,ruthlessness,playing with toys,playing with toys,getting wet,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid34,uid17,Charlie,cat,Scottish Fold,white,male,1,2,vaccinated,reflects affection,insecure,gentleness,watching birds,sleeping in sunbeams,being in unfamiliar environments,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid35,uid18,Luna,cat,Scottish Fold,orange,female,5,3,not vaccinated,suspicious,tyranny,curious,sleeping in sunbeams,cuddling,being around dogs,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid36,uid18,Tiger,cat,Siamese,gray,male,6,5,vaccinated,friendliness towards people,curious,inquisitive,watching birds,watching birds,being around dogs,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid37,uid19,Oscar,cat,Bengal,gray,female,1,9,not vaccinated,suspicious,ruthlessness,reflects affection,cuddling,playing with toys,getting wet,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid38,uid19,Whiskers,cat,Birman,orange,male,7,2,vaccinated,alert,unpredictability,ruthlessness,playing with toys,chasing laser pointers,being in unfamiliar environments,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid39,uid20,Milo,cat,Ragdoll,orange,female,6,3,not vaccinated,inquisitive,gentleness,volatility,playing with toys,cuddling,being handled roughly,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid40,uid20,Milo,cat,Persian,white,male,3,5,vaccinated,suspicious,alert,gentleness,sleeping in sunbeams,chasing laser pointers,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid41,uid21,Oliver,cat,Birman,brown,female,5,5,not vaccinated,volatility,curious,scared of people,cuddling,playing with toys,being around dogs,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid42,uid21,Leo,cat,Abyssinian,brown,male,4,10,vaccinated,aggressiveness,volatility,aggressiveness,watching birds,chasing laser pointers,being around dogs,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid43,uid22,Oscar,cat,Scottish Fold,brown,female,8,6,not vaccinated,scared of people,volatility,ruthlessness,watching birds,cuddling,being in unfamiliar environments,getting wet,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid44,uid22,Leo,cat,Scottish Fold,brown,male,3,8,vaccinated,insecure,unpredictability,friendliness towards people,watching birds,chasing laser pointers,loud noises,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid45,uid23,Leo,cat,Abyssinian,brown,female,9,6,not vaccinated,insecure,tyranny,suspicious,chasing laser pointers,chasing laser pointers,getting wet,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid46,uid23,Luna,cat,Birman,gray,male,7,6,vaccinated,active,fearful,volatility,sleeping in sunbeams,cuddling,being around dogs,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid47,uid24,Whiskers,cat,British Shorthair,white,female,2,9,not vaccinated,smart,tyranny,inquisitive,playing with toys,watching birds,getting wet,being handled roughly,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid48,uid24,Max,cat,Birman,brown,male,7,7,vaccinated,insecure,alert,gentleness,watching birds,sleeping in sunbeams,being handled roughly,being in unfamiliar environments,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid49,uid25,Milo,cat,Birman,gray,female,8,7,not vaccinated,ruthlessness,tyranny,fearful,playing with toys,watching birds,loud noises,getting wet,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid50,uid25,Max,cat,Scottish Fold,gray,male,7,8,vaccinated,insecure,ruthlessness,friendliness towards people,playing with toys,chasing laser pointers,being in unfamiliar environments,being around dogs,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid51,uid26,Bella,dog,Rottweiler,white,female,4,10,not vaccinated,irritable,straightforward,trustworthy,going for walks,sniffing everything,being left alone,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid52,uid26,Sadie,dog,German Shepherd,golden,male,4,6,vaccinated,outgoing,efficient,irritable,going for walks,getting belly rubs,being in confined spaces,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid53,uid27,Lola,dog,Rottweiler,black,female,6,9,not vaccinated,sociable,shy,thorough,learning new tricks,sniffing everything,being scolded,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid54,uid27,Charlie,dog,Poodle,black,male,5,6,vaccinated,shy,trustworthy,sociable,getting belly rubs,sniffing everything,being around cats,being scolded,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid55,uid28,Charlie,dog,Bulldog,black,female,10,5,not vaccinated,trustworthy,outgoing,outgoing,getting belly rubs,sniffing everything,being around cats,being left alone,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid56,uid28,Cooper,dog,Bulldog,golden,male,10,1,vaccinated,straightforward,shy,outgoing,getting belly rubs,learning new tricks,being in confined spaces,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid57,uid29,Lucy,dog,German Shepherd,white,female,5,2,not vaccinated,straightforward,trustworthy,irritable,going for walks,playing fetch,being around cats,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid58,uid29,Charlie,dog,Golden Retriever,white,male,9,2,vaccinated,sociable,sociable,trustworthy,getting belly rubs,sniffing everything,being scolded,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid59,uid30,Max,dog,Dachshund,golden,female,2,5,not vaccinated,curious,sociable,trustworthy,going for walks,going for walks,being in confined spaces,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid60,uid30,Max,dog,Dachshund,white,male,2,3,vaccinated,trustworthy,outgoing,efficient,going for walks,going for walks,being scolded,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid61,uid31,Lola,dog,Poodle,gray,female,2,9,not vaccinated,not lazy,outgoing,excitable,learning new tricks,getting belly rubs,being left alone,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid62,uid31,Rocky,dog,German Shepherd,gray,male,4,2,vaccinated,imaginative,not lazy,thorough,playing fetch,playing fetch,being left alone,being left alone,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid63,uid32,Rocky,dog,Boxer,gray,female,9,7,not vaccinated,not lazy,irritable,excitable,getting belly rubs,sniffing everything,being around cats,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid64,uid32,Sadie,dog,Rottweiler,gray,male,2,8,vaccinated,sociable,shy,imaginative,learning new tricks,learning new tricks,being around cats,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid65,uid33,Lola,dog,Yorkshire Terrier,white,female,8,1,not vaccinated,sociable,imaginative,not lazy,playing fetch,playing fetch,being scolded,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid66,uid33,Sadie,dog,Beagle,white,male,10,8,vaccinated,sociable,shy,imaginative,sniffing everything,learning new tricks,being around cats,being in confined spaces,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid67,uid34,Max,dog,Yorkshire Terrier,brown,female,5,4,not vaccinated,shy,not lazy,straightforward,playing fetch,learning new tricks,being around cats,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid68,uid34,Cooper,dog,Dachshund,white,male,7,6,vaccinated,irritable,imaginative,outgoing,learning new tricks,learning new tricks,being left alone,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid69,uid35,Bella,dog,Bulldog,white,female,2,2,not vaccinated,trustworthy,shy,thorough,learning new tricks,sniffing everything,being left alone,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid70,uid35,Sadie,dog,Bulldog,black,male,1,10,vaccinated,trustworthy,outgoing,anxious,getting belly rubs,going for walks,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid71,uid36,Sadie,dog,Beagle,brown,female,3,6,not vaccinated,outgoing,curious,straightforward,going for walks,playing fetch,being left alone,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid72,uid36,Charlie,dog,Rottweiler,brown,male,9,9,vaccinated,straightforward,not lazy,anxious,going for walks,learning new tricks,being left alone,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid73,uid37,Lola,dog,Rottweiler,golden,female,6,10,not vaccinated,shy,outgoing,thorough,sniffing everything,getting belly rubs,being left alone,being in confined spaces,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid74,uid37,Lola,dog,Beagle,gray,male,3,9,vaccinated,imaginative,trustworthy,straightforward,going for walks,sniffing everything,being left alone,being left alone,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid75,uid38,Lola,dog,Poodle,golden,female,1,6,not vaccinated,not lazy,thorough,not lazy,sniffing everything,learning new tricks,being left alone,being left alone,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid76,uid38,Bella,dog,Boxer,gray,male,8,10,vaccinated,irritable,irritable,trustworthy,sniffing everything,going for walks,being scolded,being left alone,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid77,uid39,Lucy,dog,Dachshund,gray,female,8,3,not vaccinated,excitable,shy,anxious,playing fetch,getting belly rubs,being around cats,being scolded,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid78,uid39,Charlie,dog,Poodle,white,male,5,3,vaccinated,shy,excitable,straightforward,sniffing everything,playing fetch,being scolded,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid79,uid40,Sadie,dog,Beagle,white,female,6,6,not vaccinated,efficient,straightforward,curious,learning new tricks,learning new tricks,being scolded,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid80,uid40,Charlie,dog,Bulldog,gray,male,9,8,vaccinated,irritable,outgoing,shy,getting belly rubs,sniffing everything,being left alone,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid81,uid41,Rocky,dog,Bulldog,brown,female,8,2,not vaccinated,trustworthy,imaginative,irritable,going for walks,going for walks,being in confined spaces,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid82,uid41,Daisy,dog,Rottweiler,black,male,2,6,vaccinated,straightforward,trustworthy,curious,playing fetch,playing fetch,being left alone,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid83,uid42,Lucy,dog,Beagle,black,female,3,3,not vaccinated,irritable,not lazy,anxious,learning new tricks,playing fetch,being around cats,being left alone,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid84,uid42,Charlie,dog,Golden Retriever,white,male,10,2,vaccinated,anxious,not lazy,thorough,sniffing everything,learning new tricks,being around cats,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid85,uid43,Charlie,dog,Poodle,black,female,8,6,not vaccinated,irritable,anxious,anxious,playing fetch,playing fetch,being left alone,being in confined spaces,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid86,uid43,Max,dog,Labrador Retriever,golden,male,9,5,vaccinated,outgoing,imaginative,sociable,going for walks,playing fetch,being left alone,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid87,uid44,Cooper,dog,Beagle,golden,female,8,1,not vaccinated,sociable,irritable,outgoing,learning new tricks,playing fetch,being in confined spaces,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid88,uid44,Rocky,dog,Boxer,white,male,8,8,vaccinated,sociable,outgoing,outgoing,playing fetch,playing fetch,being left alone,being scolded,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid89,uid45,Max,dog,Yorkshire Terrier,white,female,8,10,not vaccinated,trustworthy,straightforward,imaginative,playing fetch,playing fetch,being left alone,being in confined spaces,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid90,uid45,Daisy,dog,Beagle,gray,male,9,9,vaccinated,excitable,irritable,straightforward,playing fetch,going for walks,loud noises,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid91,uid46,Charlie,dog,Beagle,brown,female,10,7,not vaccinated,excitable,outgoing,sociable,going for walks,playing fetch,being scolded,loud noises,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
pid92,uid46,Max,dog,Boxer,brown,male,5,2,vaccinated,efficient,anxious,irritable,getting belly rubs,going for walks,being around cats,being around cats,Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time),Tue Jun 27 2023 17:18:05 GMT+0700 (Western Indonesia Time)
